id;text;has_family;has_name;has_passport;has_inn;has_snils;has_card;has_phone;has_url;has_marriage_cert;has_cadastral
0;Сотрудник София Лыткина проводит оплату по карте 9177 6334 2720 3886 через кабинет https://portal.company.com/cabinet и подтверждает заявку звонком на номер +7-994-848-72-97.;1;1;0;0;0;1;1;1;0;0
1;Контакт Святослав Шубин подтвердил перевод на карту 7848 1652 4445 4460 и прислал ИНН 045306935882 для квитанции.;1;1;0;1;0;1;0;0;0;0
2;В регистрационной форме указано: Анастасия Аскольдовна, паспорт 2755 116325, телефон +7-939-422-71-84, URL личного кабинета https://lk.bank.ru/cabinet, СНИЛС 999-698-829 07.;1;1;1;0;1;0;1;1;0;0
3;Сотрудник Архип Иванов проводит оплату по карте 2001 8676 6100 8987 через кабинет https://service.company.ru/cabinet и подтверждает заявку звонком на номер +7-914-115-33-39.;1;1;0;0;0;1;1;1;0;0
4;Сотрудник Ирина Колесникова проводит оплату по карте 6205 4596 7150 0666 через кабинет https://service.shop.ru/cabinet и подтверждает заявку звонком на номер +7-900-303-12-68.;1;1;0;0;0;1;1;1;0;0
5;Агент Октябрина Зиновьева сообщил о семейном статусе по свидетельству 82-693234, предоставил карту 2689 9962 6970 8386 и кадастровый номер 16:61:654842:7952.;1;1;0;0;0;1;0;0;1;1
6;Контакт Алина Носова подтвердил перевод на карту 6041 8095 2175 5851 и прислал ИНН 059625719760 для квитанции.;1;1;0;1;0;1;0;0;0;0
7;"Клиент Корнил Устинов идентифицирован по паспорту 5862 503803 и ИНН 921188241996; связь поддерживается по телефону +7-975-176-67-16.";1;1;1;1;0;0;1;0;0;0
8;Представитель Лора Павловна предоставил свидетельство о браке 90-889638 и СНИЛС 282-895-400 11 для проверки договора.;1;1;0;0;1;0;0;0;1;0
9;Контакт Нина Кузьмина подтвердил перевод на карту 7418 9485 4329 8769 и прислал ИНН 271152610537 для квитанции.;1;1;0;1;0;1;0;0;0;0
10;В регистрационной форме указано: Комаров Тарас, паспорт 2893 533501, телефон +7-923-170-69-47, URL личного кабинета https://service.university.ru/cabinet, СНИЛС 450-258-963 87.;1;1;1;0;1;0;1;1;0;0
